accession,title,organism,n_samples,source_summary,library_strategy,single_cell_flag,material_flag,disease_terms_found,expression_files,decision,top_reason
GSE159262,Novel 3D Approach to Model Non-Alcoholic Fatty Liver Disease using human Pluripotent Stem Cells,Homo sapiens 5/5,5,liver-pattern source 0/5,RNA-Seq 5/5,FAIL,WARN,disease/fibrosis terms found in sample metadata (4 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX9266301, https://www.ncbi.nlm.nih.gov/sra?term=SRX9266302, https://www.ncbi.nlm.nih.gov/sra?term=SRX9266303, https://www.ncbi.nlm.nih.gov/sra?term=SRX9266304, https://www.ncbi.nlm.nih.gov/sra?term=SRX9266305)",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Chromium, Single cells were (5 sample(s)))"
GSE336962,Advancing probabilistic risk assessment of perfluorooctanoic acid through integration of in vitro data and physiologically based toxicokinetic modeling coupled with population-specific analysis,Homo sapiens 36/36,36,liver-pattern source 0/36,RNA-Seq 36/36,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE336962_PA_12w_normalized_counts.csv.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 0/36
GSE300257,Effect of overexpression of LY6D on gene expression in L02 hepatocytes,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE300257_ExpressionProfile.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE270357,Transcriptome sequencing of palmitic acid-treated HepG2 cells upon intervention of curcumin or curcumin-copper complex,Homo sapiens 9/9,9,liver-pattern source 9/9,RNA-Seq 9/9,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE270357_TPMs_allsamples.txt.gz,MANUAL_REVIEW,sample_count: 9 samples (below 20)
GSE316562,Cyanidin-3-rutinoside(C3R) Attenuates Free Fatty Acid-Induced Hepatic Lipid Accumulation in HepG2 Cells,Homo sapiens 15/15,15,liver-pattern source 15/15,RNA-Seq 15/15,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX31822212, https://www.ncbi.nlm.nih.gov/sra?term=SRX31822213, https://www.ncbi.nlm.nih.gov/sra?term=SRX31822214, https://www.ncbi.nlm.nih.gov/sra?term=SRX31822215, https://www.ncbi.nlm.nih.gov/sra?term=SRX31822216, and 10 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 15 samples (below 20)
GSE296996,Gene expression profiling of tunicamycin-induced ER stress in HepG2 hepatoma cells,Homo sapiens 10/10,10,liver-pattern source 0/10,RNA-Seq 10/10,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE296996_count_matrix.txt.gz,MANUAL_REVIEW,sample_count: 10 samples (below 20)
GSE281797,Transcriptomic profiles of liver biopsies in obese patients with metabolic dysfunction-associated steatotic liver disease,Homo sapiens 94/94,94,liver-pattern source 94/94,RNA-Seq 94/94,PASS,PASS,disease/fibrosis terms found in sample metadata (94 sample(s)),processed series-level file: GSE281797_tpm.txt.gz,STRONG_CANDIDATE,
GSE253186,Evaluation of PFHpA impact on liver metabolism using human liver spheroids,Homo sapiens 2/2,2,liver-pattern source 2/2,RNA-Seq 2/2,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (2/2), packaged in GSE253186_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cell Ranger, Seurat, barcodes.tsv, features.tsv, matrix.mtx (2 sample(s)))"
GSE286572,Hepatocyte reporter cells and integrated metabolomic and transcriptomic analyses reveal insights into hepatocyte changes in offspring of pregnancies with obesity,Homo sapiens 30/30,30,liver-pattern source 30/30; off-target tissue signal detected,RNA-Seq 30/30,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX27340496, https://www.ncbi.nlm.nih.gov/sra?term=SRX27340497, https://www.ncbi.nlm.nih.gov/sra?term=SRX27340498, https://www.ncbi.nlm.nih.gov/sra?term=SRX27340499, https://www.ncbi.nlm.nih.gov/sra?term=SRX27340500, and 25 more (see sample_metadata.csv))",MANUAL_REVIEW,source_tissue: liver-pattern source 30/30; off-target tissue signal detected
GSE272035,Gene community-regulated pathway analysis successfully deciphers pathogenesis and biomarkers of viral versus metabolic hepatocellular carcinoma,Homo sapiens 71/71,71,liver-pattern source 71/71,RNA-Seq 71/71,PASS,PASS,disease/fibrosis terms found in sample metadata (71 sample(s)),processed series-level file: GSE272035_matrix.txt.gz,STRONG_CANDIDATE,
GSE287614,The transcription factor ZNF469 regulates collagen production in liver fibrosis [RNA-Seq],Homo sapiens 28/28,28,liver-pattern source 0/28,RNA-Seq 28/28,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX27413751, https://www.ncbi.nlm.nih.gov/sra?term=SRX27413752, https://www.ncbi.nlm.nih.gov/sra?term=SRX27413753, https://www.ncbi.nlm.nih.gov/sra?term=SRX27413754, https://www.ncbi.nlm.nih.gov/sra?term=SRX27413755, and 23 more (see sample_metadata.csv))",MANUAL_REVIEW,source_tissue: liver-pattern source 0/28
